Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
CommonFloor,https://angel.co/commonfloor,5,Nov '12,Bengaluru,Real Estate,http://www.commonfloor.com,"",Acquired,257900000
FullContact,https://angel.co/fullcontact,5,Jan '11,Denver,Developer APIs,https://www.fullcontact.com,201-500,Series B,50868000
StepOut,https://angel.co/stepout,5,Sep '10,New York City,Online Dating,http://stepout.com,"","",6782000
TeliportMe,https://angel.co/teliportme,5,May '12,Mountain View,Augmented Reality,http://www.teliportme.com,1-10,"",""
Fivetran,https://angel.co/fivetran,5,Mar '15,Oakland,Data Integration,http://bit.ly/2ryZ5eO,51-200,"",""
Walletkit,https://angel.co/walletkit,5,Oct '12,San Francisco,Loyalty Programs,http://www.walletkit.com,1-10,"",""
Semantics3,https://angel.co/semantics3,5,Sep '12,San Francisco,Developer APIs,https://www.semantics3.com/,11-50,Seed,2150000
Must See India,https://angel.co/must-see-india,5,Feb '13,Bengaluru,Career Planning,http://www.mustseeindia.com,11-50,"",5000000
SilverPush,https://angel.co/silverpush,5,Dec '12,Gurgaon,Television,http://www.silverpush.co,51-200,"",2550000
Flikster - Movies & Fashion,https://angel.co/flikster,5,Jan '16,Hyderabad,Digital Entertainment,http://www.flikster.com,11-50,Seed,270000
Securifi (Almond IoT Cloud Router),https://angel.co/securifi,5,Aug '15,India,Internet of Things,http://www.securifi.com/,"","",""
HackerRank ,https://angel.co/hackerrank,5,Sep '14,Palo Alto,Algorithms,https://hackerrank.com,51-200,Series C,19900000
Zendrive,https://angel.co/zendrive,5,Aug '13,San Francisco,Insurance Companies,http://www.zendrive.com,11-50,"",16500000
bluestone.com,https://angel.co/bluestone-com,5,Jul '13,Bengaluru,Curated Web,http://bluestone.com,"","",15000000
Growth Story,https://angel.co/growth-story,5,Oct '13,Bengaluru,Education,http://growthstory.in,1-10,"",""
Headout ,https://angel.co/headout,5,Feb '14,San Francisco,Mobile Commerce,http://www.headout.com,51-200,Seed,1800000
ClearTax,https://angel.co/cleartax,5,Aug '14,Bengaluru,Finance Technology,http://cleartax.in,201-500,Series A,15420000
Junglee Games,https://angel.co/junglee-games,5,Sep '11,San Francisco,Gambling,http://www.jungleegames.com/,51-200,Seed,3500000
Castle Global,https://angel.co/castleglobal,5,Dec '12,San Francisco,Social Network,https://thehive.ai/,11-50,Series A,18100000
Lookup,https://angel.co/lookupto,5,Dec '14,Delhi,Messaging,http://www.lookup.to,51-200,Acquired,2882000
Razorpay,https://angel.co/razorpay,5,Mar '15,Bengaluru,Mobile Payments,https://razorpay.com,51-200,"",11500000
SpringRole,https://angel.co/springrole,5,Feb '15,Santa Monica,Blockchains,http://springrole.com,11-50,Seed,250000
Lightspeed Venture Partners,https://angel.co/lightspeed-venture-partners,5,Sep '15,Menlo Park,Finance,http://lsvp.com/,1-10,"",""
Zoom,https://angel.co/zoom,5,Feb '12,Bengaluru,Travel & Tourism,http://zoomcar.com,51-200,Series A,10900000
ixigo.com,https://angel.co/ixigo-com,5,Sep '13,Gurgaon,Social Travel,http://www.ixigo.com,51-200,Series B,34500000
Tata Consultancy Services,https://angel.co/tata-consultancy-services,5,Jan '12,Mumbai,Consulting,http://www.tcs.com/,"","",""
videogram,https://angel.co/videogram,5,May '12,Tokyo,Content Discovery,http://corporate.videogram.com/,1-10,"",6250000
Cleartrip,https://angel.co/cleartrip,5,Jul '14,Mumbai,Travel,http://www.cleartrip.com,"","",56400000
Flipkart,https://angel.co/flipkart,5,Jan '12,Bengaluru,Online Shopping,http://www.flipkart.com/,5000+,"",14822140000
Babajob,https://angel.co/babajob-1,5,Sep '12,Bengaluru,Emerging Markets,http://www.babajob.com,51-200,Acquired,10000000
MAZ Systems,https://angel.co/mazsystems,5,Aug '11,New York City,Ott,http://mazsystems.com,11-50,Seed,2100000
Plivo,https://angel.co/plivo,5,Nov '11,San Francisco,Developer APIs,http://www.plivo.com,51-200,Seed,1750000
PharmaSecure,https://angel.co/pharmasecure,5,Jan '12,Lebanon,Biotechnology,http://www.pharmasecure.com/,"","",7885000
mygola.com,https://angel.co/mygola-com,5,Aug '10,Bengaluru,Online Travel,http://mygola.com,11-50,Series A,2658000
Skillmate,https://angel.co/skillmate,5,Oct '15,Gurgaon,Apps,http://skillmate.co.in/,1-10,"",40000
Drip,https://angel.co/drip-capital,5,Sep '15,Palo Alto,Finance Technology,http://www.dripcapital.com,11-50,"",""
Freshworks (formerly Freshdesk),https://angel.co/freshworks,5,Feb '11,San Francisco,Customer Service,http://www.freshworks.com,1001-5000,"",149000000
Punchh,https://angel.co/punchh,5,Aug '15,Mountain View,Restaurants,https://punchh.com,51-200,"",3000000
Youplus,https://angel.co/youplus,5,Sep '13,Cupertino,Market Research,http://www.youplus.co,11-50,Seed,""
Scribe (YC W17),https://angel.co/tryscribe,5,Apr '17,San Francisco,Sales Automation,http://www.tryscribe.com,1-10,"",""
GoLorry,https://angel.co/golorry-1,5,Apr '15,San Mateo,Emerging Markets,http://www.golorry.com,11-50,"",""
tushky.com,https://angel.co/tushky-com,5,Feb '13,Mumbai,Marketplaces,http://tushky.com,1-10,Seed,291000
Kisan Network,https://angel.co/kisan-network,5,Feb '16,Gurgaon,Mobile Commerce,http://www.kisannetwork.com,11-50,"",""
TradeBriefs,https://angel.co/tradebriefs,5,Sep '12,Mumbai,B2B,http://www.tradebriefs.com,11-50,"",""
HackerEarth,https://angel.co/hackerearth,5,Dec '12,Bengaluru,College Recruiting,https://www.hackerearth.com,51-200,Seed,660000
Kloudio,https://angel.co/kloudio,5,May '16,San Jose,Enterprise Resource Planning,http://kloud.io,"","",""
Meesho,https://angel.co/meesho,5,Sep '15,Bengaluru,Mobile Commerce,http://www.meesho.com,51-200,"",""
Simpa Networks,https://angel.co/simpa-networks-1,5,Jan '12,Vancouver,Rural Energy,http://www.simpanetworks.com,"","",1100000
Videovibe,https://angel.co/videovibe,5,Oct '16,India,Predictive Analytics,http://videovibe.co,1-10,"",""
Pareto,https://angel.co/pareto-3,5,Nov '16,Mumbai,Credit,http://www.letspareto.com,1-10,"",""
Admission Table,https://angel.co/admission-table,5,Aug '13,Bengaluru,Messaging,http://www.admissiontable.com,11-50,"",""
Webware.io,https://angel.co/webware,5,Jan '13,Toronto,Retail Technology,http://www.webware.io,51-200,Seed,870000
SHEROES,https://angel.co/sheroes-2,5,Jul '12,Delhi,Women-Focused,http://www.sheroes.com,51-200,"",""
LimeRoad,https://angel.co/limeroad,5,Feb '13,Gurgaon,E-Commerce,http://www.limeroad.com,"",Series C,50000000
SchoolAdmissions,https://angel.co/schooladmissions,5,Feb '13,Delhi,K-12 Education,http://www.schooladmissions.in,1-10,"",""
LafaLafa,https://angel.co/lafalafa,5,Oct '15,Mountain View,Loyalty Programs,http://www.LafaLafa.com,11-50,"",""
Chargebee,https://angel.co/chargebee,5,Jul '11,Chennai,Subscription Businesses,https://www.chargebee.com,51-200,Series B,6170000
ZipDial,https://angel.co/zipdial,5,Apr '12,Bengaluru,Emerging Markets,http://www.zipdial.com,51-200,Acquired,650000
ZoomCar India,https://angel.co/zoomcar-india,5,Aug '14,Bengaluru,Automotive,http://www.zoomcar.in,"",Series B,70200000
My Child,https://angel.co/my-child,5,May '15,Bhopal,Android,http://www.mychildapp.in,1-10,"",""
EduKart,https://angel.co/edukart,5,Oct '11,India,Technical Continuing Education,http://www.edukart.com,11-50,Seed,1000000
Springboard,https://angel.co/springboard,5,Apr '15,San Francisco,Training,http://www.springboard.com,11-50,Series A,11265000
Stride.AI,https://angel.co/stride-ai,5,Nov '15,Kansas City,Europe,http://www.stride.ai,11-50,"",""
SignEasy,https://angel.co/signeasy,5,May '11,San Francisco,Small and Medium Businesses,https://www.getsigneasy.com,11-50,"",""
POPxo,https://angel.co/popxo,5,Mar '13,Delhi,Digital Publishing,http://www.popxo.com,51-200,Series B,5900000
TutorVista.com,https://angel.co/tutorvista-com,5,Jan '12,Bengaluru,Education,http://www.tutorvista.com,"",Series D,80750000
bottr.me,https://angel.co/bottr,5,Aug '15,San Francisco,Messaging,https://bottr.me,1-10,"",""
Hello English,https://angel.co/culturealley,5,Feb '13,India,Language Learning,https://play.google.com/store/apps/details?id=com.CultureAlley.japanese.english,11-50,"",""
Fulfil.IO,https://angel.co/fulfil-io,5,Jul '15,Mountain View,Enterprise Resource Planning,http://www.fulfil.io,11-50,"",125000
CRON Systems,https://angel.co/cron-systems-1,5,Jun '16,Delhi,Defense,http://www.cronsystems.com,11-50,"",""
OurHealthMate.com,https://angel.co/ourhealthmate,5,Jul '12,San Francisco,Marketplaces,http://ourhealthmate.com,11-50,Closed,1492000
Bigfoot Retail Solutions,https://angel.co/kartrocket,5,Jul '13,Delhi,"","http://www.kartrocket.com,www.kraftly.com",201-500,Series A,1100000
Instamojo,https://angel.co/instamojo,5,Apr '12,Bengaluru,Mobile Commerce,http://instamojo.com,51-200,Series B,3120000
Hike,https://angel.co/hike,5,Dec '12,Delhi,Messaging,http://www.hike.in,"","",254000000
PriceBaba,https://angel.co/pricebaba,5,Oct '12,Mumbai,Comparison Shopping,http://pricebaba.com,11-50,Seed,""
Times Internet,https://angel.co/times-internet,5,Jul '13,Delhi,News,http://www.timesinternet.in,501-1000,"",""
Nest Childcare Services Pvt Ltd (babyoye.com),https://angel.co/nest-childcare-services-pvt-ltd-babyoye-com,5,Apr '13,Mumbai,E-Commerce,"","","",2500000
transtutors.com,https://angel.co/transtutors-com,5,Nov '15,Delhi,Colleges,http://transtutors.com,"","",""
Urjakart,https://angel.co/urjakart,5,Jan '15,Delhi,B2B,https://www.urjakart.com,51-200,"",""
OYO,https://angel.co/oyo-rooms,5,Sep '11,Gurgaon,Hospitality,https://www.oyorooms.com/,1-10,Acquired,125000000
Shoto,https://angel.co/shoto,5,Feb '13,San Francisco,Photo Sharing,http://shoto.com,1-10,Seed,250000
Pragya Systems,https://angel.co/pragya-systems,5,Dec '14,Cambridge,College Recruiting,http://www.pragyasystems.com,1-10,"",1825000
Cargobase,https://angel.co/cargobase,5,Jan '14,Singapore,B2B,http://www.cargobase.com,11-50,Seed,1850000
WISHUP,https://angel.co/wishup-1,5,Jun '15,San Francisco,Outsourcing,http://wishup.in/virtual-assistant,11-50,Seed,""
Kae Capital,https://angel.co/kae-capital,5,Jan '13,Mumbai,"",http://www.kae-capital.com,"","",""
Quickli,https://angel.co/quickli,5,Jan '15,Gurgaon,B2B Express Delivery,http://quickli.com,11-50,"",""
Bitcoin India,https://angel.co/bitcoin-india-1,5,Aug '14,India,Remittance,https://www.bitcoin-india.org,11-50,"",""
ScaleGrid,https://angel.co/scalegrid,5,Nov '12,Palo Alto,Databases,https://scalegrid.io,1-10,"",""
Uninstall.io,https://angel.co/uninstall-io,5,Jun '15,Bengaluru,Mobile Advertising,http://www.uninstall.io,1-10,Acquired,""
Hiver,https://angel.co/grexit,5,Feb '11,Silicon Valley,Customer Support Tools,http://hiverhq.com,11-50,Seed,175000
Vahan,https://angel.co/vahan-1,5,Nov '15,Singapore,Messaging,http://vahan.co,1-10,"",""
Brainnr ,https://angel.co/brainnr-jatia-education-pvt-ltd,5,Sep '16,Bengaluru,Tutoring,https://www.brainnr.com/,"","",""
Origa Leasing,https://angel.co/origa-leasing,5,Sep '15,Mumbai,South East Asia,http://www.origaleasing.com,1-10,Seed,1000000
Supr Daily,https://angel.co/supr-daily,5,Jan '18,Mumbai,"",http://www.suprdaily.com,"",Seed,1500000
SocialCops,https://angel.co/social-cops,5,Feb '13,India,Data,https://socialcops.com/,11-50,"",350000
iControl,https://angel.co/icontrol-1,5,May '16,Stockholm,Construction,http://icontrolapp.co/,11-50,"",""
ShoppinPal,https://angel.co/shoppinpal,5,Aug '12,San Francisco,Mobile Commerce,http://shoppinpal.com,11-50,Seed,500000
Inkmonk,https://angel.co/inkmonk,5,Apr '14,Chennai,Marketplaces,http://www.inkmonk.com,11-50,Seed,250000
Almabase,https://angel.co/almabase,5,Mar '15,San Francisco,Colleges,http://www.almabase.com/?utm_source=angellist,11-50,"",""
Tripoto,https://angel.co/tripoto-1,5,May '14,Delhi,Advertising Platforms,http://www.tripoto.com,11-50,"",""
